,water_temp,ph,dissolved_oxygen,conductivity,turbidity,codmn,nh3_n,tp,tn,pressure,air_temp,humidity,precipitation,wind_speed,wind_dir_sin,wind_dir_cos,precipitation_3d,precipitation_7d,pressure_drop,resuspension_index,runoff_proxy,nutrient_risk_index,self_purification_index,mixing_proxy,settling_index,hydrodynamic_intensity,conductivity_anomaly,water_air_temp_gap,dayofyear_sin,dayofyear_cos,songpu_flow_m3s,songpu_water_level_m,huangdu_flow_m3s,huangdu_water_level_m,songpu_flow_m3s_abs,songpu_flow_m3s_reverse_flag,songpu_flow_m3s_3d_mean,songpu_flow_m3s_7d_mean,huangdu_flow_m3s_abs,huangdu_flow_m3s_reverse_flag,huangdu_flow_m3s_3d_mean,huangdu_flow_m3s_7d_mean,songpu_water_level_m_1d_diff,songpu_water_level_m_3d_mean,huangdu_water_level_m_1d_diff,huangdu_water_level_m_3d_mean,songpu_flow_level_coupling,huangdu_flow_level_coupling,songpu_flow_m3s_1d_diff,huangdu_flow_m3s_1d_diff,songpu_flow_rise_flag,huangdu_flow_rise_flag,songpu_tidal_pumping_proxy,songpu_resuspension_potential,songpu_flushing_potential,runoff_sediment_pulse
songpu_flow_m3s_3d_mean,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.067819715,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.2085509,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.2085509
songpu_flow_m3s_7d_mean,0.0050429627,0.0050429627,0.006181696,0.6357387,0.0676733,0.006181696,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.006246767,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
huangdu_flow_m3s_abs,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.2085509,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.2085509
huangdu_flow_m3s_reverse_flag,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
huangdu_flow_m3s_3d_mean,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.20866477,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.2085509
huangdu_flow_m3s_7d_mean,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.2085509,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.2085509
songpu_water_level_m_1d_diff,0.0058563435,0.0058563435,0.005879867,0.63575286,0.9998235,0.0058563435,0.015792087,0.015779592,0.015779592,0.6357597,0.08768248,0.08768248,0.08772582,0.014331772,0.014315506,0.014315506,0.08768248,0.08769612,0.6357387,0.9999498,0.087693125,0.015779592,0.0058563435,0.6357387,0.999808,0.63575125,0.6357387,0.0058563435,0.08768248,0.08768248,0.999808,0.6357387,0.6357387,0.6357387,0.9998151,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.99981487,0.6357387,0.6357387,0.6357387,0.9998147,0.9998156,0.6357586,0.9998182
songpu_water_level_m_3d_mean,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
huangdu_water_level_m_1d_diff,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.2085509,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.2085509
huangdu_water_level_m_3d_mean,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
songpu_flow_level_coupling,0.0058563435,0.0058563435,0.0058563435,0.6357387,0.9999707,0.0058563435,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.014315506,0.014315506,0.014315506,0.08768248,0.08768248,0.6357387,0.999808,0.08768248,0.015779592,0.0058563435,0.6357387,0.999808,0.6357387,0.6357387,0.0058563435,0.08768248,0.08768248,0.999808,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.999808,0.999808,0.6357387,0.999808
huangdu_flow_level_coupling,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.2085509,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.2085509
songpu_flow_m3s_1d_diff,0.0058563435,0.0058563435,0.005863422,0.63576734,0.99993527,0.0058563435,0.015779592,0.015786937,0.015779592,0.6357568,0.08768248,0.08768248,0.08769155,0.014332004,0.014315506,0.014315506,0.08769094,0.08768248,0.6357387,0.9998269,0.08768248,0.015779592,0.0058563435,0.6357387,0.999808,0.6357387,0.6357387,0.0058563435,0.08768248,0.08768248,0.999808,0.6357387,0.6357387,0.6357387,0.9998488,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.99982166,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.999808,0.999808,0.63575184,0.999808
huangdu_flow_m3s_1d_diff,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.2085509,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.2085509
songpu_flow_rise_flag,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.6357387,0.0676733
huangdu_flow_rise_flag,0.0050429627,0.0050429627,0.0050429627,0.6357387,0.0676733,0.0050429627,0.015779592,0.015779592,0.015779592,0.6357387,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.2085509,0.2085509,0.6357387,0.0676733,0.2085509,0.015779592,0.0050429627,0.6357387,0.0676733,0.6357387,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.6357387,0.6357387,0.6357387,0.2085509
songpu_tidal_pumping_proxy,0.0058563435,0.0058563435,0.0058563435,0.6357766,0.9999544,0.0058563435,0.015779592,0.01578849,0.015779592,0.6357387,0.08768248,0.08768248,0.087724894,0.014329306,0.014315506,0.014315506,0.087726235,0.08771966,0.6357387,0.99988675,0.08772038,0.015779592,0.0058563435,0.6357387,0.999808,0.635782,0.6357387,0.0058563435,0.08768248,0.08768248,0.999808,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.99982136,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.00016267621,0.999808,0.6357387,0.99984986
songpu_resuspension_potential,0.0058563435,0.0058563435,0.0058563435,0.63576275,0.9998169,0.0058563435,0.015779592,0.015779592,0.015779592,0.6357597,0.08768248,0.08768248,0.087692976,0.014328863,0.014315506,0.014315506,0.08768248,0.08768248,0.6357387,0.9999794,0.08768978,0.015779592,0.0058563435,0.6357387,0.999808,0.63574934,0.6357387,0.0058563435,0.08768248,0.08768248,0.999808,0.6357387,0.6357387,0.6357387,0.9998316,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.9998232,0.6357387,0.6357387,0.6357387,0.999808,0.6357387,0.999808,0.6357387,0.6357387,0.6357387,0.999808,0.00016267621,0.6357387,0.9998255
songpu_flushing_potential,0.0050429627,0.0050429627,0.006220031,0.63575184,0.0676733,0.006181696,0.015789313,0.015824107,0.015814612,0.635765,0.08768248,0.08768248,0.08768248,0.0027654956,0.0027654956,0.0027654956,0.08768248,0.08768248,0.6357387,0.0676733,0.08768248,0.015779592,0.006181696,0.6357387,0.0676733,0.63575315,0.6357387,0.0050429627,0.08768248,0.08768248,0.6357387,0.6357387,0.6357387,0.6357387,0.6357455,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357586,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.6357452,0.6357387,0.6357387,0.6357387,0.6357387,0.6357387,0.00016267621,0.0676733
runoff_sediment_pulse,0.0058563435,0.0058563435,0.0058631226,0.06768075,0.9999448,0.0058563435,0.011556892,0.011550011,0.011550011,0.0676733,0.06458246,0.06458246,0.06461811,0.014327657,0.014315506,0.014315506,0.2085584,0.20859937,0.0676733,0.9998412,0.20860736,0.011550011,0.0058563435,0.0676733,0.999808,0.067681216,0.0676733,0.0058563435,0.06458246,0.06458246,0.999808,0.0676733,0.2085509,0.0676733,0.999808,0.0676733,0.2085509,0.0676733,0.2085509,0.0676733,0.2085509,0.2085509,0.9998283,0.0676733,0.2085509,0.0676733,0.999808,0.2085509,0.999808,0.2085509,0.0676733,0.2085509,0.9998289,0.9998168,0.0676733,0.00016267621
